--------------------------------------------|---------|----------|---------|---------|------------------------------------------------------------------------------------------------------------
File                                        | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s
--------------------------------------------|---------|----------|---------|---------|------------------------------------------------------------------------------------------------------------
All files                                   |   89.91 |    81.33 |   91.91 |   90.41 |
 src                                        |    78.4 |    63.82 |   16.66 |   81.25 |
  main.js                                   |    78.4 |    63.82 |   16.66 |   81.25 | 45,56,76,165-171,202-208,233-239
 src/actions                                |   98.61 |    94.01 |     100 |   98.59 |
  actionCandidateProcessor.js               |     100 |    93.75 |     100 |     100 | 147
  actionDiscoveryService.js                 |     100 |    93.75 |     100 |     100 | 93
  actionFormatter.js                        |     100 |    91.42 |     100 |     100 | 94,195-196
  actionIndex.js                            |     100 |      100 |     100 |     100 |
  targetResolutionService.js                |   92.85 |    88.88 |     100 |   92.68 | 175-183
 src/actions/formatters                     |      95 |       90 |     100 |      95 |
  formatActionTypedefs.js                   |       0 |      100 |     100 |       0 | 37
  targetFormatters.js                       |     100 |       90 |     100 |     100 | 50
 src/actions/tracing                        |     100 |      100 |     100 |     100 |
  traceContext.js                           |     100 |      100 |     100 |     100 |
 src/actions/utils                          |     100 |      100 |     100 |     100 |
  discoveryErrorUtils.js                    |     100 |      100 |     100 |     100 |
 src/actions/validation                     |   96.84 |       78 |     100 |   96.84 |
  actionValidationContextBuilder.js         |     100 |      100 |     100 |     100 |
  conditionReferenceResolver.js             |     100 |        0 |     100 |     100 | 18
  contextBuilders.js                        |     100 |      100 |     100 |     100 |
  inputValidators.js                        |     100 |      100 |     100 |     100 |
  prerequisiteEvaluationService.js          |   95.65 |    76.92 |     100 |   95.65 | 105-110
  validationErrorUtils.js                   |     100 |    83.33 |     100 |     100 | 33
 src/adapters                               |   91.48 |     91.3 |   88.88 |   93.18 |
  DefaultComponentPolicy.js                 |      96 |    94.11 |     100 |     100 | 17
  GameEngineLoadAdapter.js                  |   66.66 |      100 |      50 |   66.66 | 30
  GameEngineSaveAdapter.js                  |   66.66 |      100 |      50 |   66.66 | 30
  InMemoryEntityRepository.js               |      90 |       75 |     100 |      90 | 23
  LodashCloner.js                           |     100 |      100 |     100 |     100 |
  UuidGenerator.js                          |     100 |      100 |     100 |     100 |
  fnLoadOrderResolverAdapter.js             |     100 |      100 |     100 |     100 |
 src/ai                                     |   93.27 |    85.41 |     100 |   97.34 |
  notesPersistenceHook.js                   |     100 |    95.83 |     100 |     100 | 44
  notesPersistenceListener.js               |   94.11 |    91.66 |     100 |     100 | 48
  notesService.js                           |   91.66 |    85.71 |     100 |   91.66 | 51,65
  shortTermMemoryService.js                 |    82.6 |    69.23 |     100 |      95 | 35
  thoughtPersistenceHook.js                 |     100 |       90 |     100 |     100 | 40
  thoughtPersistenceListener.js             |   94.11 |       90 |     100 |     100 | 46
 src/alerting                               |    90.8 |       90 |     100 |    90.8 |
  alertRouter.js                            |   86.95 |    83.33 |     100 |   86.95 | 101,127-128,136,160,183
  statusCodeMapper.js                       |     100 |      100 |     100 |     100 |
  throttler.js                              |   92.85 |    88.88 |     100 |   92.85 | 96-97
 src/anatomy                                |   53.56 |    43.53 |    67.1 |    54.3 |
  anatomyDescriptionService.js              |   79.59 |    65.71 |      75 |   79.59 | 63,78,109,120,131,160-173
  anatomyGenerationService.js               |   63.63 |    58.33 |   66.66 |   64.61 | 48,50,53,55,74-77,82,89-92,97-100,113,165,193-216
  anatomyInitializationService.js           |   29.41 |       25 |   66.66 |    30.3 | 35,38,50-51,64-129
  bodyBlueprintFactory.js                   |   56.73 |    41.58 |      50 |   57.46 | ...3-296,356-544,613,712,719-722,730,739-740,769,814-820,849-852,896-899,904-907,953-956,981-985,1041-1050
  bodyDescriptionComposer.js                |    66.2 |    48.71 |    90.9 |    66.2 | 53,58,64,80,109-114,133,139,157,162,181-197,249,265-275,284,297-304,336,346,353,371-394,407-413,422
  bodyGraphService.js                       |    5.33 |     3.79 |   11.11 |    5.67 | 49,52,67-456
  bodyPartDescriptionBuilder.js             |   81.48 |    69.09 |      90 |   81.13 | 39,44,65,69,91-92,154,170,180,184
  descriptorFormatter.js                    |   87.23 |    74.35 |   88.88 |   90.69 | 102,164-166
  graphIntegrityValidator.js                |    55.9 |    35.36 |   63.63 |   55.83 | 35,82-86,92,96,128-129,134,154-235,268-272,309-312,325,332,356,398
